Date,active_cases,cured,death,total_confirmed_cases
2020-01-30T13:33:00.00+05:30,1,0,0,1
2020-02-02T10:39:00.00+05:30,2,0,0,2
2020-02-03T12:13:00.00+05:30,3,0,0,3
2020-03-02T14:28:00.00+05:30,5,0,0,5
2020-03-03T19:36:00.00+05:30,6,0,0,6
2020-03-10T12:00:00.00+05:30,47,0,0,47
2020-03-11T17:30:00.00+05:30,60,0,0,60
2020-03-12T11:00:00.00+05:30,73,0,0,73
2020-03-12T18:00:00.00+05:30,71,3,0,74
2020-03-13T10:00:00.00+05:30,71,3,1,75
2020-03-13T22:15:00.00+05:30,67,10,2,79
2020-03-14T09:00:00.00+05:30,71,10,2,83
2020-03-14T16:55:00.00+05:30,72,10,2,84
2020-03-15T08:55:00.00+05:30,82,9,2,93
2020-03-15T12:00:00.00+05:30,96,9,2,107
2020-03-15T17:00:00.00+05:30,95,10,2,107
2020-03-15T23:30:00.00+05:30,95,13,2,110
2020-03-16T16:00:00.00+05:30,99,13,2,114
2020-03-17T09:15:00.00+05:30,110,13,2,125
2020-03-17T10:55:00.00+05:30,109,13,3,125
2020-03-17T11:52:00.00+05:30,110,13,3,126
2020-03-17T17:15:00.00+05:30,120,14,3,137
2020-03-18T09:00:00.00+05:30,130,14,3,147
2020-03-18T17:15:00.00+05:30,134,14,3,151
2020-03-19T09:00:00.00+05:30,148,15,3,166
2020-03-19T16:30:00.00+05:30,148,15,4,167
2020-03-19T17:00:00.00+05:30,149,20,4,173
2020-03-20T09:00:00.00+05:30,171,20,4,195
2020-03-20T17:00:00.00+05:30,196,23,4,223
2020-03-21T09:00:00.00+05:30,231,23,4,258
2020-03-21T16:45:00.00+05:30,256,23,4,283
2020-03-22T09:45:00.00+05:30,296,24,4,324
2020-03-22T11:45:00.00+05:30,295,24,5,324
2020-03-22T18:30:00.00+05:30,329,24,7,360
2020-03-23T09:00:00.00+05:30,359,24,7,390
2020-03-23T10:30:00.00+05:30,359,24,7,390
2020-03-23T18:00:00.00+05:30,402,24,7,433
2020-03-23T20:15:00.00+05:30,390,35,9,434
2020-03-24T08:45:00.00+05:30,446,37,9,492
