Date,key,value
2020-01-30T13:33:00.00+05:30,active_cases,1
2020-01-30T13:33:00.00+05:30,cured,0
2020-01-30T13:33:00.00+05:30,death,0
2020-01-30T13:33:00.00+05:30,total_confirmed_cases,1
2020-02-02T10:39:00.00+05:30,active_cases,2
2020-02-02T10:39:00.00+05:30,cured,0
2020-02-02T10:39:00.00+05:30,death,0
2020-02-02T10:39:00.00+05:30,total_confirmed_cases,2
2020-02-03T12:13:00.00+05:30,active_cases,3
2020-02-03T12:13:00.00+05:30,cured,0
2020-02-03T12:13:00.00+05:30,death,0
2020-02-03T12:13:00.00+05:30,total_confirmed_cases,3
2020-03-02T14:28:00.00+05:30,active_cases,5
2020-03-02T14:28:00.00+05:30,cured,0
2020-03-02T14:28:00.00+05:30,death,0
2020-03-02T14:28:00.00+05:30,total_confirmed_cases,5
2020-03-03T19:36:00.00+05:30,active_cases,6
2020-03-03T19:36:00.00+05:30,cured,0
2020-03-03T19:36:00.00+05:30,death,0
2020-03-03T19:36:00.00+05:30,total_confirmed_cases,6
2020-03-10T12:00:00.00+05:30,active_cases,47
2020-03-10T12:00:00.00+05:30,cured,0
2020-03-10T12:00:00.00+05:30,death,0
2020-03-10T12:00:00.00+05:30,total_confirmed_cases,47
2020-03-11T17:30:00.00+05:30,active_cases,60
2020-03-11T17:30:00.00+05:30,cured,0
2020-03-11T17:30:00.00+05:30,death,0
2020-03-11T17:30:00.00+05:30,total_confirmed_cases,60
2020-03-12T11:00:00.00+05:30,active_cases,73
2020-03-12T11:00:00.00+05:30,cured,0
2020-03-12T11:00:00.00+05:30,death,0
2020-03-12T11:00:00.00+05:30,total_confirmed_cases,73
2020-03-12T18:00:00.00+05:30,active_cases,71
2020-03-12T18:00:00.00+05:30,cured,3
2020-03-12T18:00:00.00+05:30,death,0
2020-03-12T18:00:00.00+05:30,total_confirmed_cases,74
2020-03-13T10:00:00.00+05:30,active_cases,71
2020-03-13T10:00:00.00+05:30,cured,3
2020-03-13T10:00:00.00+05:30,death,1
2020-03-13T10:00:00.00+05:30,total_confirmed_cases,75
2020-03-13T22:15:00.00+05:30,active_cases,67
2020-03-13T22:15:00.00+05:30,cured,10
2020-03-13T22:15:00.00+05:30,death,2
2020-03-13T22:15:00.00+05:30,total_confirmed_cases,79
2020-03-14T09:00:00.00+05:30,active_cases,71
2020-03-14T09:00:00.00+05:30,cured,10
2020-03-14T09:00:00.00+05:30,death,2
2020-03-14T09:00:00.00+05:30,total_confirmed_cases,83
2020-03-14T16:55:00.00+05:30,active_cases,72
2020-03-14T16:55:00.00+05:30,cured,10
2020-03-14T16:55:00.00+05:30,death,2
2020-03-14T16:55:00.00+05:30,total_confirmed_cases,84
2020-03-15T08:55:00.00+05:30,active_cases,82
2020-03-15T08:55:00.00+05:30,cured,9
2020-03-15T08:55:00.00+05:30,death,2
2020-03-15T08:55:00.00+05:30,total_confirmed_cases,93
2020-03-15T12:00:00.00+05:30,active_cases,96
2020-03-15T12:00:00.00+05:30,cured,9
2020-03-15T12:00:00.00+05:30,death,2
2020-03-15T12:00:00.00+05:30,total_confirmed_cases,107
2020-03-15T17:00:00.00+05:30,active_cases,95
2020-03-15T17:00:00.00+05:30,cured,10
2020-03-15T17:00:00.00+05:30,death,2
2020-03-15T17:00:00.00+05:30,total_confirmed_cases,107
2020-03-15T23:30:00.00+05:30,active_cases,95
2020-03-15T23:30:00.00+05:30,cured,13
2020-03-15T23:30:00.00+05:30,death,2
2020-03-15T23:30:00.00+05:30,total_confirmed_cases,110
2020-03-16T16:00:00.00+05:30,active_cases,99
2020-03-16T16:00:00.00+05:30,cured,13
2020-03-16T16:00:00.00+05:30,death,2
2020-03-16T16:00:00.00+05:30,total_confirmed_cases,114
2020-03-17T09:15:00.00+05:30,active_cases,110
2020-03-17T09:15:00.00+05:30,cured,13
2020-03-17T09:15:00.00+05:30,death,2
2020-03-17T09:15:00.00+05:30,total_confirmed_cases,125
2020-03-17T10:55:00.00+05:30,active_cases,109
2020-03-17T10:55:00.00+05:30,cured,13
2020-03-17T10:55:00.00+05:30,death,3
2020-03-17T10:55:00.00+05:30,total_confirmed_cases,125
2020-03-17T11:52:00.00+05:30,active_cases,110
2020-03-17T11:52:00.00+05:30,cured,13
2020-03-17T11:52:00.00+05:30,death,3
2020-03-17T11:52:00.00+05:30,total_confirmed_cases,126
2020-03-17T17:15:00.00+05:30,active_cases,120
2020-03-17T17:15:00.00+05:30,cured,14
2020-03-17T17:15:00.00+05:30,death,3
2020-03-17T17:15:00.00+05:30,total_confirmed_cases,137
2020-03-18T09:00:00.00+05:30,active_cases,130
2020-03-18T09:00:00.00+05:30,cured,14
2020-03-18T09:00:00.00+05:30,death,3
2020-03-18T09:00:00.00+05:30,total_confirmed_cases,147
2020-03-18T17:15:00.00+05:30,active_cases,134
2020-03-18T17:15:00.00+05:30,cured,14
2020-03-18T17:15:00.00+05:30,death,3
2020-03-18T17:15:00.00+05:30,total_confirmed_cases,151
2020-03-19T09:00:00.00+05:30,active_cases,148
2020-03-19T09:00:00.00+05:30,cured,15
2020-03-19T09:00:00.00+05:30,death,3
2020-03-19T09:00:00.00+05:30,total_confirmed_cases,166
2020-03-19T16:30:00.00+05:30,active_cases,148
2020-03-19T16:30:00.00+05:30,cured,15
2020-03-19T16:30:00.00+05:30,death,4
2020-03-19T16:30:00.00+05:30,total_confirmed_cases,167
2020-03-19T17:00:00.00+05:30,active_cases,149
2020-03-19T17:00:00.00+05:30,cured,20
2020-03-19T17:00:00.00+05:30,death,4
2020-03-19T17:00:00.00+05:30,total_confirmed_cases,173
2020-03-20T09:00:00.00+05:30,active_cases,171
2020-03-20T09:00:00.00+05:30,cured,20
2020-03-20T09:00:00.00+05:30,death,4
2020-03-20T09:00:00.00+05:30,total_confirmed_cases,195
2020-03-20T17:00:00.00+05:30,active_cases,196
2020-03-20T17:00:00.00+05:30,cured,23
2020-03-20T17:00:00.00+05:30,death,4
2020-03-20T17:00:00.00+05:30,total_confirmed_cases,223
2020-03-21T09:00:00.00+05:30,active_cases,231
2020-03-21T09:00:00.00+05:30,cured,23
2020-03-21T09:00:00.00+05:30,death,4
2020-03-21T09:00:00.00+05:30,total_confirmed_cases,258
2020-03-21T16:45:00.00+05:30,active_cases,256
2020-03-21T16:45:00.00+05:30,cured,23
2020-03-21T16:45:00.00+05:30,death,4
2020-03-21T16:45:00.00+05:30,total_confirmed_cases,283
2020-03-22T09:45:00.00+05:30,active_cases,296
2020-03-22T09:45:00.00+05:30,cured,24
2020-03-22T09:45:00.00+05:30,death,4
2020-03-22T09:45:00.00+05:30,total_confirmed_cases,324
2020-03-22T11:45:00.00+05:30,active_cases,295
2020-03-22T11:45:00.00+05:30,cured,24
2020-03-22T11:45:00.00+05:30,death,5
2020-03-22T11:45:00.00+05:30,total_confirmed_cases,324
2020-03-22T18:30:00.00+05:30,active_cases,329
2020-03-22T18:30:00.00+05:30,cured,24
2020-03-22T18:30:00.00+05:30,death,7
2020-03-22T18:30:00.00+05:30,total_confirmed_cases,360
2020-03-23T09:00:00.00+05:30,active_cases,359
2020-03-23T09:00:00.00+05:30,cured,24
2020-03-23T09:00:00.00+05:30,death,7
2020-03-23T09:00:00.00+05:30,total_confirmed_cases,390
2020-03-23T10:30:00.00+05:30,active_cases,359
2020-03-23T10:30:00.00+05:30,cured,24
2020-03-23T10:30:00.00+05:30,death,7
2020-03-23T10:30:00.00+05:30,total_confirmed_cases,390
2020-03-23T18:00:00.00+05:30,active_cases,402
2020-03-23T18:00:00.00+05:30,cured,24
2020-03-23T18:00:00.00+05:30,death,7
2020-03-23T18:00:00.00+05:30,total_confirmed_cases,433
2020-03-23T20:15:00.00+05:30,active_cases,390
2020-03-23T20:15:00.00+05:30,cured,35
2020-03-23T20:15:00.00+05:30,death,9
2020-03-23T20:15:00.00+05:30,total_confirmed_cases,434
2020-03-24T08:45:00.00+05:30,active_cases,446
2020-03-24T08:45:00.00+05:30,cured,37
2020-03-24T08:45:00.00+05:30,death,9
2020-03-24T08:45:00.00+05:30,total_confirmed_cases,492
2020-03-24T17:45:00.00+05:30,active_cases,470
2020-03-24T17:45:00.00+05:30,cured,40
2020-03-24T17:45:00.00+05:30,death,9
2020-03-24T17:45:00.00+05:30,total_confirmed_cases,519
2020-03-24T20:15:00.00+05:30,active_cases,469
2020-03-24T20:15:00.00+05:30,cured,40
2020-03-24T20:15:00.00+05:30,death,10
2020-03-24T20:15:00.00+05:30,total_confirmed_cases,519
2020-03-25T09:15:00.00+05:30,active_cases,512
2020-03-25T09:15:00.00+05:30,cured,41
2020-03-25T09:15:00.00+05:30,death,9
2020-03-25T09:15:00.00+05:30,total_confirmed_cases,562
2020-03-25T18:45:00.00+05:30,active_cases,553
2020-03-25T18:45:00.00+05:30,cured,43
2020-03-25T18:45:00.00+05:30,death,10
2020-03-25T18:45:00.00+05:30,total_confirmed_cases,606
2020-03-26T10:15:00.00+05:30,active_cases,593
2020-03-26T10:15:00.00+05:30,cured,43
2020-03-26T10:15:00.00+05:30,death,13
2020-03-26T10:15:00.00+05:30,total_confirmed_cases,649
2020-03-26T20:00:00.00+05:30,active_cases,634
2020-03-26T20:00:00.00+05:30,cured,45
2020-03-26T20:00:00.00+05:30,death,15
2020-03-26T20:00:00.00+05:30,total_confirmed_cases,694
2020-03-27T09:15:00.00+05:30,active_cases,640
2020-03-27T09:15:00.00+05:30,cured,67
2020-03-27T09:15:00.00+05:30,death,17
2020-03-27T09:15:00.00+05:30,total_confirmed_cases,724
2020-03-28T09:30:00.00+05:30,active_cases,775
2020-03-28T09:30:00.00+05:30,cured,79
2020-03-28T09:30:00.00+05:30,death,19
2020-03-28T09:30:00.00+05:30,total_confirmed_cases,873
2020-03-28T17:45:00.00+05:30,active_cases,810
2020-03-28T17:45:00.00+05:30,cured,80
2020-03-28T17:45:00.00+05:30,death,19
2020-03-28T17:45:00.00+05:30,total_confirmed_cases,909
2020-03-29T10:00:00.00+05:30,active_cases,867
2020-03-29T10:00:00.00+05:30,cured,87
2020-03-29T10:00:00.00+05:30,death,25
2020-03-29T10:00:00.00+05:30,total_confirmed_cases,979
2020-03-29T19:30:00.00+05:30,active_cases,901
2020-03-29T19:30:00.00+05:30,cured,96
2020-03-29T19:30:00.00+05:30,death,27
2020-03-29T19:30:00.00+05:30,total_confirmed_cases,1024
2020-03-30T10:30:00.00+05:30,active_cases,942
2020-03-30T10:30:00.00+05:30,cured,100
2020-03-30T10:30:00.00+05:30,death,29
2020-03-30T10:30:00.00+05:30,total_confirmed_cases,1071
2020-03-30T21:30:00.00+05:30,active_cases,1072
2020-03-30T21:30:00.00+05:30,cured,102
2020-03-30T21:30:00.00+05:30,death,31
2020-03-30T21:30:00.00+05:30,total_confirmed_cases,1205
2020-03-31T20:30:00.00+05:30,active_cases,1200
2020-03-31T20:30:00.00+05:30,cured,124
2020-03-31T20:30:00.00+05:30,death,35
2020-03-31T20:30:00.00+05:30,total_confirmed_cases,1359
2020-04-01T09:00:00.00+05:30,active_cases,1466
2020-04-01T09:00:00.00+05:30,cured,133
2020-04-01T09:00:00.00+05:30,death,38
2020-04-01T09:00:00.00+05:30,total_confirmed_cases,1637
2020-04-01T19:30:00.00+05:30,active_cases,1649
2020-04-01T19:30:00.00+05:30,cured,144
2020-04-01T19:30:00.00+05:30,death,41
2020-04-01T19:30:00.00+05:30,total_confirmed_cases,1834
2020-04-02T09:00:00.00+05:30,active_cases,1764
2020-04-02T09:00:00.00+05:30,cured,151
2020-04-02T09:00:00.00+05:30,death,50
2020-04-02T09:00:00.00+05:30,total_confirmed_cases,1965
2020-04-02T18:00:00.00+05:30,active_cases,1860
2020-04-02T18:00:00.00+05:30,cured,156
2020-04-02T18:00:00.00+05:30,death,53
